OD,well,sheet,experiment,is_blank,OD_blank,ODc,time_h,ID
0.126,3,17,1,FALSE,0.083,0.043,7,ID_1_3
0.621,4,17,1,FALSE,0.089,0.532,7,ID_1_4
0.627,5,17,1,FALSE,0.086,0.541,7,ID_1_5
0.158,6,17,1,FALSE,0.086,0.072,7,ID_1_6
0.815,1,18,2,FALSE,0.093,0.722,7,ID_2_1
0.744,2,18,2,FALSE,0.089,0.655,7,ID_2_2
0.834,3,18,2,FALSE,0.082,0.752,7,ID_2_3
0.885,4,18,2,FALSE,0.087,0.798,7,ID_2_4
0.225,5,18,2,FALSE,0.095,0.13,7,ID_2_5
0.896,6,18,2,FALSE,0.091,0.805,7,ID_2_6
0.716,1,19,1,FALSE,0.084,0.632,8,ID_1_1
0.699,2,19,1,FALSE,0.085,0.614,8,ID_1_2
0.126,3,19,1,FALSE,0.083,0.043,8,ID_1_3
0.834,4,19,1,FALSE,0.089,0.745,8,ID_1_4
0.815,5,19,1,FALSE,0.086,0.729,8,ID_1_5
0.148,6,19,1,FALSE,0.086,0.062,8,ID_1_6
0.995,1,20,2,FALSE,0.093,0.902,8,ID_2_1
0.884,2,20,2,FALSE,0.089,0.795,8,ID_2_2
0.603,3,20,2,FALSE,0.082,0.521,8,ID_2_3
1.076,4,20,2,FALSE,0.087,0.989,8,ID_2_4
0.281,5,20,2,FALSE,0.095,0.186,8,ID_2_5
1.032,6,20,2,FALSE,0.091,0.941,8,ID_2_6
1.11,1,21,1,FALSE,0.084,1.026,9,ID_1_1
1.206,2,21,1,FALSE,0.085,1.121,9,ID_1_2
0.837,3,21,1,FALSE,0.083,0.754,9,ID_1_3
1.249,4,21,1,FALSE,0.089,1.16,9,ID_1_4
1.358,5,21,1,FALSE,0.086,1.272,9,ID_1_5
1.049,6,21,1,FALSE,0.086,0.963,9,ID_1_6
0.808,1,22,2,FALSE,0.093,0.715,9,ID_2_1
0.686,2,22,2,FALSE,0.089,0.597,9,ID_2_2
0.675,3,22,2,FALSE,0.082,0.593,9,ID_2_3
0.935,4,22,2,FALSE,0.087,0.848,9,ID_2_4
0.342,5,22,2,FALSE,0.095,0.247,9,ID_2_5
0.822,6,22,2,FALSE,0.091,0.731,9,ID_2_6
1.109,1,23,1,FALSE,0.084,1.025,10,ID_1_1
1.193,2,23,1,FALSE,0.085,1.108,10,ID_1_2
0.895,3,23,1,FALSE,0.083,0.812,10,ID_1_3
1.226,4,23,1,FALSE,0.089,1.137,10,ID_1_4
1.289,5,23,1,FALSE,0.086,1.203,10,ID_1_5
1.063,6,23,1,FALSE,0.086,0.977,10,ID_1_6
0.817,1,24,2,FALSE,0.093,0.724,10,ID_2_1
0.703,2,24,2,FALSE,0.089,0.614,10,ID_2_2
0.691,3,24,2,FALSE,0.082,0.609,10,ID_2_3
0.914,4,24,2,FALSE,0.087,0.827,10,ID_2_4
0.369,5,24,2,FALSE,0.095,0.274,10,ID_2_5
0.861,6,24,2,FALSE,0.091,0.77,10,ID_2_6
1.061,1,25,1,FALSE,0.084,0.977,11,ID_1_1
1.103,2,25,1,FALSE,0.085,1.018,11,ID_1_2
0.941,3,25,1,FALSE,0.083,0.858,11,ID_1_3
1.212,4,25,1,FALSE,0.089,1.123,11,ID_1_4
1.259,5,25,1,FALSE,0.086,1.173,11,ID_1_5
1.082,6,25,1,FALSE,0.086,0.996,11,ID_1_6
0.833,1,26,2,FALSE,0.093,0.74,11,ID_2_1
0.711,2,26,2,FALSE,0.089,0.622,11,ID_2_2
0.731,3,26,2,FALSE,0.082,0.649,11,ID_2_3
0.922,4,26,2,FALSE,0.087,0.835,11,ID_2_4
0.422,5,26,2,FALSE,0.095,0.327,11,ID_2_5
0.896,6,26,2,FALSE,0.091,0.805,11,ID_2_6
1.115,1,27,1,FALSE,0.084,1.031,12,ID_1_1
1.082,2,27,1,FALSE,0.085,0.997,12,ID_1_2
0.892,3,27,1,FALSE,0.083,0.809,12,ID_1_3
1.215,4,27,1,FALSE,0.089,1.126,12,ID_1_4
1.237,5,27,1,FALSE,0.086,1.151,12,ID_1_5
1.062,6,27,1,FALSE,0.086,0.976,12,ID_1_6
0.885,1,28,2,FALSE,0.093,0.792,12,ID_2_1
0.761,2,28,2,FALSE,0.089,0.672,12,ID_2_2
0.764,3,28,2,FALSE,0.082,0.682,12,ID_2_3
0.951,4,28,2,FALSE,0.087,0.864,12,ID_2_4
0.493,5,28,2,FALSE,0.095,0.398,12,ID_2_5
0.921,6,28,2,FALSE,0.091,0.83,12,ID_2_6
